source,id,name,rawName,type,latitude,longitude,areaSqm,areaLabel,areaCategory,address,region,coordinateLabel,updatedAt,originalId,osmId,osmName,matchedType
official,nparks-88507,Almond Crescent Playground,ALMOND CRESCENT PG,Dedicated playground,1.3732124444606688,103.77198060528261,2670.289961475,"2,670 sqm",Neighbourhood,,West,"1.373212, 103.771981",2026-04-21T16:01:38.000Z,nparks-88507,,,
official,nparks-88549,Aroozoo Avenue Playground,AROOZOO AVE PG,Dedicated playground,1.3551968667413747,103.88595627294951,8614.704395755,"8,615 sqm",Neighbourhood,,East,"1.355197, 103.885956",2026-04-21T16:01:38.000Z,nparks-88549,,,
official,nparks-88591,Banyan Villas Playground,BANYAN VILLAS PG,Dedicated playground,1.3872785047325376,103.83885324901108,1137.90094904,"1,138 sqm",Pocket,,North,"1.387279, 103.838853",2026-04-21T16:01:38.000Z,nparks-88591,,,
official,nparks-88420,Bedok Ria Crescent Playground,BEDOK RIA CRESCENT PG,Dedicated playground,1.3273348850995668,103.95308171715823,3077.944328,"3,078 sqm",Neighbourhood,,East,"1.327335, 103.953082",2026-04-21T16:01:38.000Z,nparks-88420,,,
official,nparks-88633,Bedok Terrace Playground,BEDOK TERRACE PG,Dedicated playground,1.3255436023346039,103.9475056192436,3679.948464415,"3,680 sqm",Neighbourhood,,East,"1.325544, 103.947506",2026-04-21T16:01:38.000Z,nparks-88633,,,
official,nparks-88442,Begonia Road Playground,BEGONIA RD PG,Dedicated playground,1.3878196998361432,103.8632895690186,4852.85905839,"4,853 sqm",Neighbourhood,,North,"1.387820, 103.863290",2026-04-21T16:01:38.000Z,nparks-88442,,,
official,nparks-88676,Beng Wan Road Playground,BENG WAN RD PG,Dedicated playground,1.3238060154412516,103.86583529773172,3701.20168189,"3,701 sqm",Neighbourhood,,East,"1.323806, 103.865835",2026-04-21T16:01:38.000Z,nparks-88676,,,
official,nparks-88759,Binchang Rise Playground,BINCHANG RISE PG,Dedicated playground,1.3486736465480897,103.84354841240868,7301.28297402,"7,301 sqm",Neighbourhood,,Central,"1.348674, 103.843548",2026-04-21T16:01:38.000Z,nparks-88759,,,
official,parks-sg-bishan-ang-mo-kio-pk,Bishan - Ang Mo Kio Park,Bishan - Ang Mo Kio Park,Park with playground,1.36438131796883,103.838067659861,0,Area not published,Area unavailable,Along Ang Mo Kio Ave 1,Central,"1.364381, 103.838068",2014-04-17T01:02:24.000Z,parks-sg-bishan-ang-mo-kio-pk,,,
official,parks-sg-bukit-batok-nature-pk,Bukit Batok Nature Park,Bukit Batok Nature Park,Park with playground,1.3500086942922516,103.76462219368499,351930.64829598,35.2 ha,Destination,"Bukit Batok East Ave 2, Bukit Batok East Ave 6, Lorong Sesuai",West,"1.350009, 103.764622",2026-01-14T16:03:56.000Z,parks-sg-bukit-batok-nature-pk,,,
official,nparks-88645,Burgundy Crescent Playground,BURGUNDY CRESCENT PLAYGROUND,Dedicated playground,1.33982701990837,103.76090503358263,2680.797831605,"2,681 sqm",Neighbourhood,,West,"1.339827, 103.760905",2026-04-21T16:01:38.000Z,nparks-88645,,,
